AF;ютцюмхярюм
AL;юкаюмхъ
AQ;юмрюпйрхдю
DZ;юкфхп
AS;юлепхйюмяйне яюлню
AD;юмднппю
AO;юмцнкю
AG;юмрхцсю х аюпасдю
AZ;югепаюидфюм
AR;юпцемрхмю
AU;юбярпюкхъ
AT;юбярпхъ
BS;аюцюлш
BH;аюупеим
BD;аюмцкюдеь
AM;юплемхъ
BB;аюпаюдня
BE;аекэцхъ
BM;аеплсдш
BT;асрюм
BO;анкхбхъ, лмнцнмюжхнмюкэмне цнясдюпярбн
BA;анямхъ х цепжецнбхмю
BW;анрябюмю
BV;нярпнб асбе
BR;апюгхкхъ
BZ;аекхг
IO;апхрюмяйюъ реппхрнпхъ б хмдхияйнл нйеюме
SB;янкнлнмнбш нярпнбю
VG;бхпцхмяйхе нярпнбю (апхрюмяйхе)
BN;апсмеи-дюпсяяюкюл
BG;анкцюпхъ
MM;лэъмлю
BI;аспсмдх
BY;аекюпсяэ
KH;йюландфю
CM;йюлепсм
CA;йюмюдю
CV;йюан-бепде
KY;нярпнбю йюилюм
CF;жемрпюкэмн-ютпхйюмяйюъ пеяосакхйю
LK;ьпх-кюмйю
TD;вюд
CL;вхкх
CN;йхрюи
TW;рюибюмэ (йхрюи)
CX;нярпнб пнфдеярбю
CC;йнйнянбше (йхкхмц) нярпнбю
CO;йнкслахъ
KM;йнлнпш
YT;люинррю
CG;йнмцн
CD;йнмцн, делнйпюрхвеяйюъ пеяосакхйю
CK;нярпнбю йсйю
CR;йнярю-пхйю
HR;унпбюрхъ
CU;йсаю
CY;йхоп
CZ;веухъ
BJ;аемхм
DK;дюмхъ
DM;днлхмхйю
DO;днлхмхйюмяйюъ пеяосакхйю
EC;щйбюднп
SV;щкэ-яюкэбюднп
GQ;щйбюрнпхюкэмюъ цбхмеъ
ET;щтхнохъ
ER;щпхрпеъ
EE;щярнмхъ
FO;тюпепяйхе нярпнбю
FK;тнкйкемдяйхе нярпнбю (люкэбхмяйхе)
GS;чфмюъ дфнпдфхъ х чфмше яюмдбхвебш нярпнбю
FJ;тхдфх
FI;тхмкъмдхъ
юу;щкюмдяйхе нярпнбю
FR;тпюмжхъ
GF;тпюмжсгяйюъ цбхюмю
PF;тпюмжсгяйюъ онкхмегхъ
TF;тпюмжсгяйхе чфмше реппхрнпхх
DJ;дфхасрх
GA;цюанм
GE;цпсгхъ
GM;цюлахъ
PS;оюкеярхмю, цнясдюпярбн
DE;цеплюмхъ
GH;цюмю
GI;цхапюкрюп
KI;йхпхаюрх
GR;цпежхъ
GL;цпемкюмдхъ
GD;цпемюдю
GP;цбюдексою
GU;цсюл
GT;цбюрелюкю
GN;цбхмеъ
GY;цюиюмю
HT;цюхрх
HM;нярпнб уепд х нярпнбю люйднмюкэд
VA;оюояйхи опеярнк (цнясдюпярбн - цнпнд бюрхйюм)
HN;цнмдспюя
HK;цнмйнмц
HU;бемцпхъ
IS;хякюмдхъ
IN;хмдхъ
ID;хмднмегхъ
IR;хпюм (хякюляйюъ пеяосакхйю)
IQ;хпюй
IE;хпкюмдхъ
IL;хгпюхкэ
IT;хрюкхъ
CI;йнр д'хбсюп
JM;ълюийю
JP;ъонмхъ
KZ;йюгюуярюм
JO;хнпдюмхъ
KE;йемхъ
KP;йнпеъ, мюпндмн-делнйпюрхвеяйюъ пеяосакхйю
KR;йнпеъ, пеяосакхйю
KW;йсбеир
KG;йхпцхгхъ
LA;кюняяйюъ мюпндмн-делнйпюрхвеяйюъ пеяосакхйю
LB;кхбюм
LS;кеянрн
LV;кюрбхъ
LR;кхаепхъ
LY;кхбхъ
LI;кхуремьреим
LT;кхрбю
LU;кчйяеласпц
MO;люйюн
MG;людюцюяйюп
MW;люкюбх
MY;люкюигхъ
MV;люкэдхбш
ML;люкх
MT;люкэрю
